,RMSE,nRMSE,CSV
wave_ratio_0.03_mode_edm_step_20,[0.07371161],[0.41617957],[0.00026221]
wave_ratio_0.01_mode_edm_step_20,[0.1342874],[0.7584008],[0.00011712]
