,RMSE,nRMSE,CSV,L2relative
wave_ratio_0.01_mode_edm_step_20,[0.03145223],[0.30077723],[0.0042563],[0.29939553]
wave_ratio_0.03_mode_edm_step_20,[0.01048132],[0.104922],[0.000843],[0.10335159]
wave_ratio_0.05_mode_edm_step_20,[0.00687322],[0.06872637],[0.00058257],[0.06699893]
