,RMSE,nRMSE,CSV,L2relative
wave_ratio_0.01_mode_edm_step_20,[0.02461651],[0.12855722],[0.00023787],[0.1279271]
wave_ratio_0.03_mode_edm_step_20,[0.00925351],[0.04761075],[0.00015821],[0.04689092]
wave_ratio_0.05_mode_edm_step_20,[0.00591645],[0.03022815],[0.00011594],[0.02946572]
