,RMSE,nRMSE,CSV
wave_ratio_0.03_mode_edm_step_20,[0.01048132],[0.104922],[0.000843]
wave_ratio_0.01_mode_edm_step_20,[0.03145223],[0.30077723],[0.0042563]
