,RMSE,nRMSE,CSV
wave_ratio_0.03_mode_edm_step_20,[0.00925351],[0.04761075],[0.00015821]
wave_ratio_0.01_mode_edm_step_20,[0.02461651],[0.12855722],[0.00023787]
